id,brand,product_name,category
M001,Bioderma,Sensibio H2O Micellar Water,Micellar
M002,Bioderma,Sensibio Lait,Micellar

C001,Bioderma,Atoderm Intensive Gel Moussant,Cleanser
C002,Aminu,Cream Cleanser,Cleanser
C003,Aminu,Melting Balm,Cleanser
C004,Bioderma,Pigmentbio Foaming Cream,Cleanser
C005,Bioderma,Sensibio Gel Moussant,Cleanser
C006,Suganda,Squalane Cleansing Oil,Cleanser
C007,Bioderma,Sebium Gel Moussant,Cleanser
C008,Cetaphil,Gentle Skin Cleanser,Cleanser
C009,Cetaphil,Oily Skin Cleanser,Cleanser
C010,CeraVe,Foaming Cleanser,Cleanser
C011,CeraVe,SA Smoothing Cleanser,Cleanser
C012,CeraVe,Hydrating Facial Cleanser,Cleanser
C013,Minimalist,Salicylic + LHA Cleanser,Cleanser

MS001,One Thing,Centella Asiatica Extract,Mist
MS002,One Thing,Hyaluronic Acid Complex,Mist
MS003,One Thing,Niacinamide 10% Concentrate,Mist

T001,Paula's Choice,Skin Balancing Pore Reducing Toner,Toner
T002,The Ordinary,Glycolic Acid 7% Toning Solution,Toner
T003,SkinCeuticals,Blemish + Age Defense Toner,Toner
T004,Minimalist,PHA Face Toner,Toner
T005,Skin1004,Madagascar Centella Toning Toner,Toner
T006,Dermatouch,Niacinamide Brightening Toner,Toner
T007,Dermalogica,Multi-Active Toner,Toner
T008,Tony Moly,Wonder Ceramide Mochi Toner,Toner
T009,Avene,Thermal Spring Toner,Toner

E001,Bioderma,Sebium Night Peel,Exfoliator
E002,Gunam,Daily Liquid Exfoliant,Exfoliator
E003,Bioderma,Pigmentbio Foaming Cream,Exfoliator
E004,Paula's Choice,2% BHA Liquid Exfoliant,Exfoliator
E005,SkinCeuticals,Blemish + Age Defense Exfoliator,Exfoliator
E006,The Ordinary,AHA 30% + BHA 2% Peeling Solution,Exfoliator
E007,The Ordinary,Lactic Acid 10% + HA,Exfoliator
E008,Formula RX,6% AHA + BHA Exfoliator,Exfoliator
E009,COSRX,AHA BHA PHA Exfoliator,Exfoliator
E010,Minimalist,10% AHA + BHA Exfoliator,Exfoliator

S001,Suganda,2% Alpha Arbutin Serum,Serum
S002,Suganda,Advanced Pigmentation Serum,Serum
S003,COSRX,Advanced Snail 96 Mucin,Serum
S004,COSRX,Centella Aqua Soothing Ampoule,Serum
S005,Aminu,Copper Peptide Serum,Serum
S006,Aminu,Correcting Concentrate Serum,Serum
S007,One Thing,Green Tea Serum,Serum
S008,Sesderma,Hydraderm Hyal Serum,Serum
S009,Longivity,Anti-Ageing Serum,Serum
S010,Bioderma,Sebium Pore Refiner,Serum
S011,Aminu,Regenerating Serum,Serum
S012,Aminu,Skin Perfecting Serum,Serum
S013,COSRX,Triple Hyaluronic Moisture Ampoule,Serum
S014,The Ordinary,Niacinamide 10% + Zinc 1%,Serum
S015,CeraVe,Resurfacing Retinol Serum,Serum
S016,Cetaphil,Bright Healthy Radiance Perfecting Serum,Serum
S017,Nevlon,Basic Pigmentation Serum,Serum
S018,Formula RX,Gentle Retinol Serum,Serum
S019,Derma Approved,Multi-Active Serum,Serum

MO001,COSRX,Advanced Snail 92 All-in-One Cream,Moisturizer
MO002,Aminu,Bio-Retinol Cream,Moisturizer
MO003,Sesderma,C-Vit Gel Cream,Moisturizer
MO004,Suganda,Calendula Oat Cream,Moisturizer
MO005,One Thing,Centella Soothing Cream,Moisturizer
MO006,Bioderma,Cicabio Arnica Cream,Moisturizer
MO007,Sesderma,Hydraderm Hyal Cream,Moisturizer
MO008,Aminu,Hydrating Cream,Moisturizer
MO009,Aminu,Night Repair Cream,Moisturizer
MO010,Sesderma,Azelaic RU Liposomal Cream,Moisturizer
MO011,Bioderma,Sebium Global,Moisturizer
MO012,Bioderma,Sebium Hydra,Moisturizer
MO013,Bioderma,Sensibio Forte,Moisturizer
MO014,Aminu,Soothing Cream,Moisturizer
MO015,Suganda,Squalane Ceramide Cream,Moisturizer
MO016,COSRX,Retinol 0.1 Cream,Moisturizer
MO017,COSRX,Retinol 0.3 Cream,Moisturizer
MO018,Gunam,Balance Face Cream,Moisturizer
MO019,La Roche-Posay,Toleriane Double Repair Moisturizer,Moisturizer
MO020,La Roche-Posay,Cicaplast Baume B5+,Moisturizer
MO021,La Roche-Posay,Effaclar Duo(+),Moisturizer
MO022,Requil,Ceramide + Hyaluronic Acid Cream,Moisturizer
MO023,Dr. Jart+,345 Relief Cream,Moisturizer
MO024,Minimalist,0.3% Ceramide Moisturizer,Moisturizer
MO025,Neutrogena,Hydro Boost Water Gel,Moisturizer

SS001,Heliocare,360 Water Gel SPF 50,Sunscreen
SS002,ISDIN,Photo Protector Fusion Water SPF 50,Sunscreen
SS003,Bioderma,Pigmentbio Daily Care SPF,Sunscreen
SS004,Bioderma,Hydrabio Gel Cream SPF,Sunscreen
SS005,Beauty of Joseon,Relief Sun SPF 50,Sunscreen
SS006,ISDIN,Fusion Gel Cream SPF 50,Sunscreen
SS007,EltaMD,UV Clear SPF 46,Sunscreen
SS008,La Roche-Posay,Anthelios UV Mune 400,Sunscreen
SS009,DermaCo,1% Hyaluronic Aqua Gel SPF,Sunscreen
SS010,Bioderma,Photoderm SPF 50+,Sunscreen
SS011,Cetaphil,Sun SPF 50+ Light Gel,Sunscreen
SS012,Minimalist,Sunscreen SPF 50 PA++++,Sunscreen
SS013,FIXDERMA,Shadow Gel SPF 50,Sunscreen
SS014,Requil,Ultramatt Dry Touch SPF 50,Sunscreen
SS015,Lychee,L'Arche Shield SPF 50 Mineral Gel,Sunscreen
